sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf,continente,capital,origenNombre,destinoNombre
0.5495971994572407,103,TRA,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,AGP,367,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.5495971994572407,103,RYR,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,AGP,367,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.46382210126069867,87,EJU,58263.0,70648.27897245987,12943.396613507915,485.65424640000003,AMS,AGP,367,Málaga,EU,true,Amsterdam Airport Schiphol,Málaga Airport
0.5487933293663902,103,TRA,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,ALC,367,Alicante,EU,true,Amsterdam Airport Schiphol,Alicante International Airport
0.4717156145677401,89,KLM,58263.0,72272.37733964286,13240.945960944875,435.84018431999993,AMS,ALC,367,Alicante,EU,true,Amsterdam Airport Schiphol,Alicante International Airport
0.5471890546125612,103,TRA,58263.0,83641.06590992374,15323.791393003628,488.62006149,AMS,BCN,367,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.4703366593018082,89,KLM,58263.0,72272.37733964286,13240.945960944875,459.45388455999995,AMS,BCN,367,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.4703366593018082,89,KLM,58263.0,72272.37733964286,13240.945960944875,459.45388455999995,AMS,BCN,367,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.4611143718645178,87,VLG,58263.0,70648.27897245987,12943.396613507915,511.9668587,AMS,BCN,367,Barcelona,EU,true,Amsterdam Airport Schiphol,Barcelona International Airport
0.5463886467467358,103,KLM,58263.0,83641.06590992374,15323.791393003628,388.88697393,AMS,BIO,367,Bilbao,EU,true,Amsterdam Airport Schiphol,Bilbao Airport
0.4696486682710707,89,KLM,58263.0,72272.37733964286,13240.945960944875,365.67395591999997,AMS,BIO,367,Bilbao,EU,true,Amsterdam Airport Schiphol,Bilbao Airport
0.5487933293663902,103,TRA,58263.0,83641.06590992374,15323.791393003628,388.88697393,AMS,IBZ,367,Ibiza,EU,true,Amsterdam Airport Schiphol,Ibiza Airport
0.23465947841994556,44,KLC,58263.0,35730.16407802568,6546.085643613198,211.34322572999997,AMS,IBZ,367,Ibiza,EU,true,Amsterdam Airport Schiphol,Ibiza Airport
0.5479906149523129,103,KLM,58263.0,83641.06590992374,15323.791393003628,554.6302875,AMS,MAD,367,Madrid,EU,true,Amsterdam Airport Schiphol,Adolfo Suárez Madrid–Barajas Airport
0.47102564094215665,89,KLM,58263.0,72272.37733964286,13240.945960944875,521.5238999999999,AMS,MAD,367,Madrid,EU,true,Amsterdam Airport Schiphol,Adolfo Suárez Madrid–Barajas Airport
0.29597842482681724,56,KLC,58263.0,45474.75428112359,8331.38172823498,361.69318124999995,AMS,MAD,367,Madrid,EU,true,Amsterdam Airport Schiphol,Adolfo Suárez Madrid–Barajas Airport
1.1729462039147822,221,AEA,58263.0,179462.8695737199,32879.20289178447,1792.935,AMS,MAD,367,Madrid,EU,true,Amsterdam Airport Schiphol,Adolfo Suárez Madrid–Barajas Airport
0.462466288791902,87,IBE,58263.0,70648.27897245987,12943.396613507915,581.131125,AMS,MAD,367,Madrid,EU,true,Amsterdam Airport Schiphol,Adolfo Suárez Madrid–Barajas Airport
0.5479906149523129,103,TRA,58263.0,83641.06590992374,15323.791393003628,463.50736128,AMS,PMI,367,Palma De Mallorca,EU,true,Amsterdam Airport Schiphol,Palma De Mallorca Airport
0.46178984406093787,87,EJU,58263.0,70648.27897245987,12943.396613507915,485.65424640000003,AMS,PMI,367,Palma De Mallorca,EU,true,Amsterdam Airport Schiphol,Palma De Mallorca Airport
0.5479906149523129,103,TRA,58263.0,83641.06590992374,15323.791393003628,388.88697393,AMS,VLC,367,Valencia,EU,true,Amsterdam Airport Schiphol,Valencia Airport
0.5087129176710924,96,VLG,58263.0,77956.72162478331,14282.368676974245,435.58869899999996,AMS,VLC,367,Valencia,EU,true,Amsterdam Airport Schiphol,Valencia Airport
0.8543457029333356,96,SAS,3000.0,82950.94603317784,24899.827655706045,519.170304,ARN,AGP,108,Málaga,EU,true,Stockholm-Arlanda Airport,Málaga Airport
0.921657788618992,103,NSW,3000.0,88999.4525147637,26715.440088934625,463.50736128,ARN,AGP,108,Málaga,EU,true,Stockholm-Arlanda Airport,Málaga Airport
0.8518638955987385,96,SAS,3000.0,82950.94603317784,24899.827655706045,519.170304,ARN,ALC,108,Alicante,EU,true,Stockholm-Arlanda Airport,Alicante International Airport
0.9163106543343877,103,NSW,3000.0,88999.4525147637,26715.440088934625,488.62006149,ARN,BCN,108,Barcelona,EU,true,Stockholm-Arlanda Airport,Barcelona International Airport
0.14854619017936943,103,RYR,3309.0,83641.06590992374,15323.791393003628,554.6302875,ATH,MAD,163,Madrid,EU,true,Eleftherios Venizelos International Airport,Adolfo Suárez Madrid–Barajas Airport
0.137494563365687,96,IBE,3309.0,77956.72162478331,14282.368676974245,621.2362499999999,ATH,MAD,163,Madrid,EU,true,Eleftherios Venizelos International Airport,Adolfo Suárez Madrid–Barajas Airport
1.4739334283001726,168,ETD,-1.0,136424.2628433708,24994.145184704932,1958.0737499999998,AUH,MAD,61,Madrid,AS,true,Abu Dhabi International Airport,Adolfo Suárez Madrid–Barajas Airport
0.41600356624030804,72,EZY,-1.0,54312.19044129046,10711.77650773069,420.593664,BFS,AGP,51,Málaga,EU,false,Belfast International Airport,Málaga Airport
0.5017597000681258,87,EZY,-1.0,65627.23011655931,12943.396613507915,485.65424640000003,BFS,ALC,51,Alicante,EU,false,Belfast International Airport,Alicante International Airport
0.5094530793835905,103,RYR,302.0,63379.66656037264,12567.436463192913,463.50736128,BGY,AGP,63,Málaga,EU,false,Milan Bergamo Airport,Málaga Airport
0.5064564606558472,103,RYR,302.0,63379.66656037264,12567.436463192913,488.62006149,BGY,BCN,63,Barcelona,EU,false,Milan Bergamo Airport,Barcelona International Airport
0.507203984751598,103,MAY,302.0,63379.66656037264,12567.436463192913,388.88697393,BGY,IBZ,63,Ibiza,EU,false,Milan Bergamo Airport,Ibiza Airport
0.5154987652409343,103,MAY,302.0,63379.66656037264,12567.436463192913,463.50736128,BGY,LPA,63,Gran Canaria Island,EU,false,Milan Bergamo Airport,Gran Canaria Airport
0.5079525948867559,103,RYR,302.0,63379.66656037264,12567.436463192913,554.6302875,BGY,MAD,63,Madrid,EU,false,Milan Bergamo Airport,Adolfo Suárez Madrid–Barajas Airport
0.507203984751598,103,MAY,302.0,63379.66656037264,12567.436463192913,388.88697393,BGY,VLC,63,Valencia,EU,false,Milan Bergamo Airport,Valencia Airport
0.59891632630837,103,RYR,194.0,77696.60577017942,15323.791393003628,388.88697393,BHX,ACE,61,Lanzarote Island,EU,false,Birmingham International Airport,Lanzarote Airport
0.5945509386897331,103,RYR,194.0,77696.60577017942,15323.791393003628,463.50736128,BHX,AGP,61,Málaga,EU,false,Birmingham International Airport,Málaga Airport
0.5945509386897331,103,RYR,194.0,77696.60577017942,15323.791393003628,463.50736128,BHX,AGP,61,Málaga,EU,false,Birmingham International Airport,Málaga Airport
